ID,Count
31417,1
31418,0.988583942
31419,0.990603238
31420,0.992619618
31421,0.994633083
31422,0.996643634
31423,0.998651274
31424,1.000656004
31425,1.002657825
31426,1.004656738
31427,1.006652747
31428,1.008645851
31429,1.010636054
31430,1.012623355
31431,1.014607758
31432,1.016589263
31433,1.018567872
31434,1.020543587
31435,1.022516409
31436,1.02448634
31437,1.026453381
31438,1.028417534
31439,1.030378801
31440,1.032337183
31441,1.034292681
31442,1.036245298
31443,1.038195035
31444,1.040141893
31445,1.042085874
31446,1.04402698
31447,1.045965213
31448,1.047900573
31449,1.049833062
31450,1.051762682
31451,1.053689435
31452,1.055613322
31453,1.057534345
31454,1.059452505
31455,1.061367804
31456,1.063280244
31457,1.065189825
31458,1.067096551
31459,1.069000421
31460,1.070901438
31461,1.072799604
31462,1.074694919
31463,1.076587387
31464,1.078477007
31465,1.080363782
31466,1.082247713
31467,1.084128802
31468,1.086007051
31469,1.087882461
31470,1.089755033
31471,1.09162477
31472,1.093491672
31473,1.095355742
31474,1.097216981
31475,1.09907539
31476,1.100930971
31477,1.102783727
31478,1.104633657
31479,1.106480764
31480,1.10832505
31481,1.110166516
31482,1.112005163
31483,1.113840994
31484,1.11567401
31485,1.117504212
31486,1.119331602
31487,1.121156181
31488,1.122977952
31489,1.124796915
31490,1.126613072
31491,1.128426426
31492,1.130236977
31493,1.132044727
31494,1
31495,1.13565183
31496,1.137451187
31497,1.139247749
31498,1.141041518
31499,1.142832495
31500,1.144620683
31501,1.146406082
31502,1.148188695
31503,1.149968523
31504,1.151745567
31505,1.153519829
31506,1.15529131
31507,1.157060013
31508,1.158825939
31509,1.160589089
31510,1.162349465
31511,1.164107069
31512,1.165861901
31513,1.167613965
31514,1.16936326
31515,1.17110979
31516,1.172853555
31517,1.174594557
31518,1.176332798
31519,1.178068279
31520,1.179801002
31521,1.181530968
31522,1.183258179
31523,1.184982636
31524,1.186704342
31525,1.188423298
31526,1.190139504
31527,1.191852964
31528,1.193563678
31529,1.195271648
31530,1.196976876
31531,1.198679363
31532,1.200379111
31533,1.202076121
31534,1.203770395
31535,1.205461934
31536,1.207150741
31537,1.208836817
31538,1.210520162
31539,1.21220078
31540,1.213878671
31541,1.215553837
31542,1.21722628
31543,1.218896001
31544,1.220563001
31545,1.222227283
31546,1.223888848
31547,1.225547698
31548,1.227203834
31549,1.228857257
31550,1.23050797
31551,1.232155973
31552,1.233801269
31553,1.235443859
31554,1.237083745
31555,1.238720928
31556,1.24035541
31557,1.241987192
31558,1.243616276
31559,1.245242663
31560,1.246866356
31561,1.248487355
31562,1.250105663
31563,1.25172128
31564,1.253334209
31565,1.254944451
31566,1.256552008
31567,1.25815688
31568,1.259759071
31569,1.261358581
31570,1.262955412
31571,1
31572,1.266141043
31573,1.267729846
31574,1.269315976
31575,1.270899436
31576,1.272480226
31577,1.274058347
31578,1.275633803
31579,1.277206594
31580,1.278776721
31581,1.280344187
31582,1.281908993
31583,1.28347114
31584,1.28503063
31585,1.286587465
31586,1.288141647
31587,1.289693176
31588,1.291242055
31589,1.292788284
31590,1.294331867
31591,1.295872803
31592,1.297411095
31593,1.298946745
31594,1.300479754
31595,1.302010123
31596,1.303537854
31597,1.305062949
31598,1.306585409
31599,1.308105236
31600,1.309622431
31601,1.311136997
31602,1.312648934
31603,1.314158244
31604,1.315664929
31605,1.317168991
31606,1.31867043
31607,1.320169249
31608,1.321665449
31609,1.323159032
31610,1.324649999
31611,1.326138352
31612,1.327624092
31613,1.329107221
31614,1.330587741
31615,1.332065653
31616,1.333540959
31617,1.33501366
31618,1.336483759
31619,1.337951255
31620,1.339416152
31621,1.340878451
31622,1.342338152
31623,1.343795259
31624,1.345249772
31625,1.346701693
31626,1.348151024
31627,1.349597765
31628,1.35104192
31629,1.352483489
31630,1.353922474
31631,1.355358876
31632,1.356792698
31633,1.35822394
31634,1.359652604
31635,1.361078693
31636,1.362502207
31637,1.363923147
31638,1.365341517
31639,1.366757316
31640,1.368170548
31641,1.369581212
31642,1.370989312
31643,1.372394848
31644,1.373797822
31645,1.375198236
31646,1.376596091
31647,1.377991389
31648,1
31649,1.38077432
31650,1.382161956
31651,1.383547041
31652,1.384929577
31653,1.386309566
31654,1.387687008
31655,1.389061906
31656,1.390434261
31657,1.391804074
31658,1.393171348
31659,1.394536084
31660,1.395898283
31661,1.397257947
31662,1.398615078
31663,1.399969677
31664,1.401321745
31665,1.402671285
31666,1.404018298
31667,1.405362786
31668,1.406704749
31669,1.40804419
31670,1.409381111
31671,1.410715512
31672,1.412047396
31673,1.413376764
31674,1.414703617
31675,1.416027957
31676,1.417349787
31677,1.418669106
31678,1.419985918
31679,1.421300223
31680,1.422612023
31681,1.42392132
31682,1.425228115
31683,1.42653241
31684,1.427834206
31685,1.429133505
31686,1.430430309
31687,1.431724619
31688,1.433016437
31689,1.434305764
31690,1.435592602
31691,1.436876953
31692,1.438158818
31693,1.439438198
31694,1.440715096
31695,1.441989512
31696,1.443261449
31697,1.444530908
31698,1.44579789
31699,1.447062398
31700,1.448324432
31701,1.449583995
31702,1.450841088
31703,1.452095712
31704,1.453347869
31705,1.454597561
31706,1.455844789
31707,1.457089555
31708,1.458331861
31709,1.459571707
31710,1.460809096
31711,1.462044029
31712,1.463276508
31713,1.464506534
31714,1.465734109
31715,1.466959235
31716,1.468181913
31717,1.469402144
31718,1.470619931
31719,1.471835274
31720,1.473048176
31721,1.474258638
31722,1.475466662
31723,1.476672248
31724,1.4778754
31725,1.479076117
31726,1.480274403
31727,1.481470258
31728,1.482663684
31729,1.483854683
31730,1.485043256
31731,1.486229405
31732,1.487413132
31733,1.488594437
31734,1.489773323
31735,1.490949791
31736,1.492123843
31737,1.49329548
31738,1.494464704
31739,1.495631517
31740,1.496795919
31741,1.497957914
31742,1.499117501
31743,1.500274684
31744,1.501429462
31745,1.502581839
31746,1.503731815
31747,1.504879393
31748,1.506024573
31749,1.507167358
31750,1.508307748
31751,1.509445746
31752,1.510581353
31753,1.511714571
31754,2
31755,1.513973845
31756,1.515099904
31757,1.51622358
31758,1.517344875
31759,1.51846379
31760,1.519580326
31761,1.520694486
31762,1.521806271
31763,1.522915683
31764,1.524022722
31765,1.525127391
31766,1.526229692
31767,1.527329625
31768,1.528427192
31769,1.529522396
31770,1.530615237
31771,1.531705717
31772,1.532793838
31773,1.533879601
31774,1.534963009
31775,1.536044061
31776,1.537122761
31777,1.53819911
31778,1.539273108
31779,1.540344759
31780,1.541414063
31781,1.542481021
31782,1.543545637
31783,1.54460791
31784,1.545667844
31785,1.546725438
31786,1.547780696
31787,1.548833618
31788,1.549884206
31789,1.550932462
31790,1.551978387
31791,1.553021983
31792,1.554063251
31793,1.555102193
31794,1.556138811
31795,1.557173105
31796,1.558205079
31797,1.559234733
31798,1.560262069
31799,1.561287088
31800,1.562309792
31801,1.563330183
31802,1.564348263
31803,1.565364032
31804,1.566377492
31805,1.567388646
31806,1.568397494
31807,1.569404038
31808,1.57040828
31809,1.571410221
31810,1.572409863
31811,1.573407207
31812,1.574402256
31813,1.57539501
31814,1.576385472
31815,1.577373642
31816,1.578359523
31817,1.579343115
31818,1.580324422
31819,1.581303443
31820,1.582280181
31821,1.583254637
31822,1.584226814
31823,1.585196711
31824,1.586164332
31825,1.587129678
31826,1.588092749
31827,1.589053549
31828,1.590012078
31829,1.590968338
31830,1.59192233
31831,2
31832,1.593823519
31833,1.594770718
31834,1.595715657
31835,1.596658336
31836,1.597598757
31837,1.598536921
31838,1.599472831
31839,1.600406488
31840,1.601337893
31841,1.602267048
31842,1.603193955
31843,1.604118614
31844,1.605041029
31845,1.605961199
31846,1.606879128
31847,1.607794816
31848,1.608708265
31849,1.609619477
31850,1.610528453
31851,1.611435195
31852,1.612339704
31853,1.613241982
31854,1.614142031
31855,1.615039852
31856,1.615935446
31857,1.616828816
31858,1.617719963
31859,1.618608888
31860,1.619495593
31861,1.62038008
31862,1.62126235
31863,1.622142405
31864,1.623020246
31865,1.623895876
31866,1.624769294
31867,1.625640504
31868,1.626509507
31869,1.627376304
31870,1.628240897
31871,1.629103287
31872,1.629963476
31873,1.630821466
31874,1.631677259
31875,1.632530855
31876,1.633382256
31877,1.634231464
31878,1.635078481
31879,1.635923308
31880,1.636765947
31881,1.637606399
31882,1.638444666
31883,1.639280749
31884,1.64011465
31885,1.640946371
31886,1.641775914
31887,1.642603279
31888,1.643428468
31889,1.644251483
31890,1.645072326
31891,1.645890998
31892,1.646707501
31893,1.647521836
31894,1.648334005
31895,1.649144009
31896,1.649951851
31897,1.650757531
31898,1.651561051
31899,1.652362413
31900,1.653161618
31901,1.653958669
31902,1.654753566
31903,1.655546311
31904,1.656336905
31905,1.657125351
31906,1.65791165
31907,1.658695804
31908,2
31909,1.66025768
31910,1.661035406
31911,1.661810993
31912,1.662584443
31913,1.663355756
31914,1.664124935
31915,1.664891981
31916,1.665656895
31917,1.66641968
31918,1.667180337
31919,1.667938868
31920,1.668695273
31921,1.669449555
31922,1.670201715
31923,1.670951755
31924,1.671699676
31925,1.67244548
31926,1.673189169
31927,1.673930744
31928,1.674670207
31929,1.675407559
31930,1.676142801
31931,1.676875937
31932,1.677606966
31933,1.678335891
31934,1.679062713
31935,1.679787434
31936,1.680510055
31937,1.681230578
31938,1.681949005
31939,1.682665337
31940,1.683379575
31941,1.684091722
31942,1.684801779
31943,1.685509747
31944,1.686215628
31945,1.686919424
31946,1.687621136
31947,1.688320765
31948,1.689018314
31949,1.689713784
31950,1.690407177
31951,1.691098494
31952,1.691787736
31953,1.692474906
31954,1.693160004
