,Community,year,Count
317,33,2015,3
318,33,2018,4
319,34,2011,5
320,34,2012,1
321,34,2013,4
322,34,2014,3
323,34,2016,6
324,34,2017,4
325,35,2010,13
326,35,2011,55
327,35,2012,52
328,35,2013,41
329,35,2014,13
330,35,2015,18
331,35,2016,9
332,35,2017,9
333,35,2018,10
334,36,2010,4
335,36,2011,21
336,36,2012,18
337,36,2013,8
338,36,2014,2
339,36,2015,1
340,36,2016,4
341,36,2017,1
342,36,2018,1
343,37,2010,13
344,37,2011,66
345,37,2012,42
346,37,2013,30
347,37,2014,22
348,37,2015,34
349,37,2016,23
350,37,2017,18
351,37,2018,24
352,38,2009,2
353,38,2010,35
354,38,2011,147
355,38,2012,164
356,38,2013,73
357,38,2014,55
358,38,2015,45
359,38,2016,35
360,38,2017,25
361,38,2018,27
362,39,2009,1
363,39,2010,8
364,39,2011,38
365,39,2012,35
366,39,2013,32
367,39,2014,9
368,39,2015,20
369,39,2016,12
370,39,2017,13
371,39,2018,4
372,40,2008,1
373,40,2010,54
374,40,2011,124
375,40,2012,111
376,40,2013,61
377,40,2014,40
378,40,2015,42
379,40,2016,36
380,40,2017,25
381,40,2018,25
382,41,2010,4
383,41,2011,12
384,41,2012,8
385,41,2013,10
386,41,2014,5
387,41,2015,10
388,41,2016,9
389,41,2017,4
390,41,2018,7
391,42,2008,1
392,42,2009,13
393,42,2010,113
394,42,2011,267
395,42,2012,268
396,42,2013,172
397,42,2014,79
398,42,2015,109
399,42,2016,114
400,42,2017,83
401,42,2018,70
402,43,2008,1
403,43,2009,17
404,43,2010,219
405,43,2011,480
406,43,2012,326
407,43,2013,179
408,43,2014,202
409,43,2015,186
410,43,2016,127
411,43,2017,129
412,43,2018,119
413,44,2008,2
414,44,2009,6
415,44,2010,160
416,44,2011,261
417,44,2012,216
418,44,2013,197
419,44,2014,149
420,44,2015,155
421,44,2016,132
422,44,2017,114
423,44,2018,125
424,45,2009,2
425,45,2010,47
426,45,2011,94
427,45,2012,71
428,45,2013,67
429,45,2014,43
430,45,2015,67
431,45,2016,55
432,45,2017,46
433,45,2018,45
434,46,2009,20
435,46,2010,315
436,46,2011,746
437,46,2012,540
438,46,2013,327
439,46,2014,215
440,46,2015,290
441,46,2016,181
442,46,2017,163
443,46,2018,156
444,47,2009,2
445,47,2010,35
446,47,2011,67
447,47,2012,66
448,47,2013,34
449,47,2014,28
450,47,2015,36
451,47,2016,43
452,47,2017,29
453,47,2018,38
454,48,2009,6
455,48,2010,78
456,48,2011,173
457,48,2012,85
458,48,2013,58
459,48,2014,51
460,48,2015,38
461,48,2016,37
462,48,2017,44
463,48,2018,36
464,49,2008,1
465,49,2009,29
466,49,2010,289
467,49,2011,742
468,49,2012,600
469,49,2013,486
470,49,2014,377
471,49,2015,358
472,49,2016,293
473,49,2017,287
474,49,2018,212
475,50,2009,2
476,50,2010,45
477,50,2011,69
478,50,2012,46
479,50,2013,56
480,50,2014,63
481,50,2015,25
482,50,2016,27
483,50,2017,34
484,50,2018,13
485,51,2009,3
486,51,2010,50
487,51,2011,157
488,51,2012,99
489,51,2013,65
490,51,2014,56
491,51,2015,90
492,51,2016,45
493,51,2017,52
