,Year,month,time,Community,crime_count,Street_lights,Sanitation_request,building_abandon,Total,asian,Black,hispanic,white,other 
74,2010,1,evening,41,50,1,1,3,26705,3242,8519,1681,12298,965
75,2010,1,evening,42,201,1,1,3,25451,710,21693,617,1982,449
76,2010,1,evening,43,266,1,1,2,48816,85,45844,1000,897,990
77,2010,1,evening,44,179,1,1,4,31493,90,30636,230,202,335
78,2010,1,evening,45,23,1,1,1,10098,30,9721,59,220,68
79,2010,1,evening,46,142,1,1,2,28550,106,20802,6494,875,273
80,2010,1,evening,47,8,1,1,1,2618,0,2618,0,0,0
81,2010,1,evening,48,52,1,1,1,13400,19,12462,519,269,131
82,2010,1,evening,49,248,1,1,11,44267,150,42822,489,471,335
83,2010,1,evening,5,60,1,1,7,34815,1313,594,4817,27043,1048
84,2010,1,evening,50,24,1,1,1,6970,42,5735,570,605,18
85,2010,1,evening,51,55,1,1,1,15570,36,9722,4931,709,172
86,2010,1,evening,52,48,1,1,3,23739,34,398,19148,4086,73
87,2010,1,evening,53,126,1,1,6,28160,51,26297,1275,279,258
88,2010,1,evening,54,54,1,1,3,7190,0,6910,180,74,26
89,2010,1,evening,55,13,1,1,2,9338,16,408,4887,3971,56
90,2010,1,evening,56,54,1,1,1,34743,512,1461,15297,17169,304
91,2010,1,evening,57,29,1,1,0,13998,333,111,10585,2890,79
92,2010,1,evening,58,95,1,1,0,44130,3032,577,37509,2950,62
93,2010,1,evening,59,41,1,1,0,16449,3185,446,9487,3104,227
94,2010,1,evening,6,161,1,1,0,97968,6639,3430,7133,78123,2643
95,2010,1,evening,60,68,1,1,0,31939,10868,874,8941,10437,819
96,2010,1,evening,61,172,1,1,2,41598,927,11222,23536,5473,440
97,2010,1,evening,62,29,1,1,2,19165,257,133,15354,3397,24
98,2010,1,evening,63,88,1,1,2,40381,333,1336,37260,1421,31
99,2010,1,evening,64,37,1,1,3,24452,345,167,12005,11776,159
100,2010,1,evening,65,70,1,1,3,33477,143,932,26926,5350,126
101,2010,1,evening,66,285,1,1,1,56293,421,27974,25583,1854,461
102,2010,1,evening,67,279,1,1,6,34272,11,32203,1297,258,503
103,2010,1,evening,68,237,1,1,4,27297,73,26054,543,226,401
104,2010,1,evening,69,224,1,1,5,32849,20,31332,602,419,476
105,2010,1,evening,7,133,1,1,5,65951,3633,2691,4771,53345,1511
106,2010,1,evening,70,82,1,1,5,42809,195,20584,15384,6232,414
107,2010,1,evening,71,247,1,1,6,47611,126,46204,672,175,434
108,2010,1,evening,72,28,1,1,4,21002,83,7601,1169,11761,388
109,2010,1,evening,73,82,1,1,6,26435,1,25394,359,198,483
110,2010,1,evening,74,20,1,1,1,18357,410,826,1040,15870,211
111,2010,1,evening,75,71,1,1,3,23204,52,15131,623,6925,473
112,2010,1,evening,76,28,1,1,3,14143,1359,150,1675,10375,584
113,2010,1,evening,77,100,1,1,3,55276,6482,7685,9007,30151,1951
114,2010,1,evening,8,253,1,1,2,84305,9031,7908,4828,60299,2239
115,2010,1,evening,9,6,1,1,2,10993,218,117,857,9701,100
116,2010,1,morning,1,94,1,1,1,55053,3526,14325,13530,22094,1578
117,2010,1,morning,10,23,1,1,2,36486,1354,343,4508,29607,674
118,2010,1,morning,11,20,1,1,2,26975,2341,340,5374,18362,558
119,2010,1,morning,12,10,1,1,2,18478,2547,31,2357,13275,268
120,2010,1,morning,13,14,1,1,1,18058,4359,531,3864,8998,306
121,2010,1,morning,14,48,1,1,1,52930,7387,2017,26892,15421,1213
122,2010,1,morning,15,68,1,1,1,64427,2866,827,26980,32755,999
123,2010,1,morning,16,70,1,1,1,56490,4287,1646,26558,22492,1507
124,2010,1,morning,17,31,1,1,1,43053,1583,694,11255,29060,461
125,2010,1,morning,18,14,1,1,1,12840,740,464,7481,4051,104
126,2010,1,morning,19,136,1,1,1,79069,1273,2804,62790,11249,953
127,2010,1,morning,2,66,1,1,1,73019,17097,7644,13088,32839,2351
128,2010,1,morning,20,47,1,1,1,24836,204,377,22174,1814,267
129,2010,1,morning,21,66,1,1,1,39117,1297,873,23537,12629,781
130,2010,1,morning,22,111,1,1,1,74055,1896,3934,34658,32081,1486
131,2010,1,morning,23,225,1,1,1,54515,270,22604,28095,2863,683
132,2010,1,morning,24,169,1,1,1,84319,3244,6188,23730,48787,2370
133,2010,1,morning,25,419,1,1,1,99711,475,83987,10249,4213,787
134,2010,1,morning,26,107,1,1,1,18885,49,18083,399,289,65
135,2010,1,morning,27,146,1,1,1,20271,59,18543,680,827,162
136,2010,1,morning,28,199,1,1,1,58899,8731,17802,6046,25091,1229
137,2010,1,morning,29,216,1,1,3,35623,84,32077,2358,713,391
138,2010,1,morning,3,79,1,1,1,54062,5285,10785,6964,28972,2056
139,2010,1,morning,30,124,1,1,2,72881,170,8570,61499,2393,249
140,2010,1,morning,31,63,1,1,2,34979,383,1294,28661,4303,338
141,2010,1,morning,32,158,1,1,2,30642,5131,3786,1823,19094,808
142,2010,1,morning,33,35,1,1,2,22021,4246,5558,1424,10087,706
143,2010,1,morning,34,25,1,1,2,13850,9750,1479,543,1610,468
144,2010,1,morning,35,54,1,1,2,19430,2540,13815,426,2329,320
145,2010,1,morning,36,13,1,1,2,6473,140,6052,122,147,12
146,2010,1,morning,37,19,1,1,2,2543,0,2289,191,52,11
147,2010,1,morning,38,76,1,1,2,22531,102,20748,474,702,505
148,2010,1,morning,39,39,1,1,1,18217,1492,12362,701,3236,426
149,2010,1,morning,4,43,1,1,3,39547,4738,1525,6236,25865,1183
150,2010,1,morning,40,68,1,1,3,11647,11,11070,246,33,287
151,2010,1,morning,41,41,1,1,3,26705,3242,8519,1681,12298,965
152,2010,1,morning,42,126,1,1,3,25451,710,21693,617,1982,449
153,2010,1,morning,43,212,1,1,2,48816,85,45844,1000,897,990
154,2010,1,morning,44,133,1,1,4,31493,90,30636,230,202,335
155,2010,1,morning,45,46,1,1,2,10098,30,9721,59,220,68
156,2010,1,morning,46,111,1,1,2,28550,106,20802,6494,875,273
157,2010,1,morning,47,7,1,1,0,2618,0,2618,0,0,0
158,2010,1,morning,48,36,1,1,1,13400,19,12462,519,269,131
159,2010,1,morning,49,191,1,1,11,44267,150,42822,489,471,335
160,2010,1,morning,5,24,1,1,8,34815,1313,594,4817,27043,1048
161,2010,1,morning,50,22,1,1,1,6970,42,5735,570,605,18
162,2010,1,morning,51,58,1,1,0,15570,36,9722,4931,709,172
163,2010,1,morning,52,35,1,1,3,23739,34,398,19148,4086,73
164,2010,1,morning,53,87,1,1,6,28160,51,26297,1275,279,258
165,2010,1,morning,54,19,1,1,3,7190,0,6910,180,74,26
166,2010,1,morning,55,8,1,1,2,9338,16,408,4887,3971,56
167,2010,1,morning,56,36,1,1,1,34743,512,1461,15297,17169,304
168,2010,1,morning,57,21,1,1,0,13998,333,111,10585,2890,79
169,2010,1,morning,58,54,1,1,0,44130,3032,577,37509,2950,62
170,2010,1,morning,59,23,1,1,0,16449,3185,446,9487,3104,227
171,2010,1,morning,6,64,1,1,0,97968,6639,3430,7133,78123,2643
172,2010,1,morning,60,31,1,1,0,31939,10868,874,8941,10437,819
173,2010,1,morning,61,120,1,1,2,41598,927,11222,23536,5473,440
174,2010,1,morning,62,32,1,1,1,19165,257,133,15354,3397,24
175,2010,1,morning,63,71,1,1,2,40381,333,1336,37260,1421,31
176,2010,1,morning,64,25,1,1,3,24452,345,167,12005,11776,159
177,2010,1,morning,65,61,1,1,3,33477,143,932,26926,5350,126
178,2010,1,morning,66,192,1,1,1,56293,421,27974,25583,1854,461
179,2010,1,morning,67,187,1,1,6,34272,11,32203,1297,258,503
180,2010,1,morning,68,169,1,1,4,27297,73,26054,543,226,401
181,2010,1,morning,69,139,1,1,5,32849,20,31332,602,419,476
182,2010,1,morning,7,67,1,1,5,65951,3633,2691,4771,53345,1511
183,2010,1,morning,70,72,1,1,5,42809,195,20584,15384,6232,414
184,2010,1,morning,71,201,1,1,6,47611,126,46204,672,175,434
185,2010,1,morning,72,23,1,1,4,21002,83,7601,1169,11761,388
186,2010,1,morning,73,74,1,1,6,26435,1,25394,359,198,483
187,2010,1,morning,74,17,1,1,1,18357,410,826,1040,15870,211
188,2010,1,morning,75,46,1,1,3,23204,52,15131,623,6925,473
189,2010,1,morning,76,58,1,1,3,14143,1359,150,1675,10375,584
190,2010,1,morning,77,55,1,1,2,55276,6482,7685,9007,30151,1951
191,2010,1,morning,8,146,1,1,2,84305,9031,7908,4828,60299,2239
192,2010,1,morning,9,6,1,1,2,10993,218,117,857,9701,100
193,2010,1,night,1,68,1,1,1,55053,3526,14325,13530,22094,1578
194,2010,1,night,10,15,1,1,1,36486,1354,343,4508,29607,674
195,2010,1,night,11,26,1,1,1,26975,2341,340,5374,18362,558
196,2010,1,night,12,5,1,1,1,18478,2547,31,2357,13275,268
197,2010,1,night,13,15,1,1,1,18058,4359,531,3864,8998,306
198,2010,1,night,14,41,1,1,1,52930,7387,2017,26892,15421,1213
199,2010,1,night,15,63,1,1,1,64427,2866,827,26980,32755,999
200,2010,1,night,16,62,1,1,1,56490,4287,1646,26558,22492,1507
201,2010,1,night,17,29,1,1,1,43053,1583,694,11255,29060,461
202,2010,1,night,18,12,1,1,1,12840,740,464,7481,4051,104
203,2010,1,night,19,119,1,1,1,79069,1273,2804,62790,11249,953
204,2010,1,night,2,79,1,1,1,73019,17097,7644,13088,32839,2351
205,2010,1,night,20,34,1,1,1,24836,204,377,22174,1814,267
206,2010,1,night,21,38,1,1,1,39117,1297,873,23537,12629,781
207,2010,1,night,22,146,1,1,1,74055,1896,3934,34658,32081,1486
208,2010,1,night,23,152,1,1,1,54515,270,22604,28095,2863,683
209,2010,1,night,24,178,1,1,1,84319,3244,6188,23730,48787,2370
210,2010,1,night,25,265,1,1,1,99711,475,83987,10249,4213,787
211,2010,1,night,26,67,1,1,1,18885,49,18083,399,289,65
212,2010,1,night,27,93,1,1,2,20271,59,18543,680,827,162
213,2010,1,night,28,111,1,1,2,58899,8731,17802,6046,25091,1229
214,2010,1,night,29,89,1,1,3,35623,84,32077,2358,713,391
215,2010,1,night,3,62,1,1,2,54062,5285,10785,6964,28972,2056
216,2010,1,night,30,76,1,1,2,72881,170,8570,61499,2393,249
217,2010,1,night,31,45,1,1,3,34979,383,1294,28661,4303,338
218,2010,1,night,32,59,1,1,3,30642,5131,3786,1823,19094,808
219,2010,1,night,33,27,1,1,3,22021,4246,5558,1424,10087,706
220,2010,1,night,34,13,1,1,3,13850,9750,1479,543,1610,468
221,2010,1,night,35,22,1,1,3,19430,2540,13815,426,2329,320
222,2010,1,night,36,9,1,1,3,6473,140,6052,122,147,12
223,2010,1,night,37,13,1,1,3,2543,0,2289,191,52,11
224,2010,1,night,38,44,1,1,3,22531,102,20748,474,702,505
225,2010,1,night,39,15,1,1,1,18217,1492,12362,701,3236,426
226,2010,1,night,4,27,1,1,3,39547,4738,1525,6236,25865,1183
227,2010,1,night,40,45,1,1,3,11647,11,11070,246,33,287
228,2010,1,night,41,23,1,1,3,26705,3242,8519,1681,12298,965
229,2010,1,night,42,61,1,1,3,25451,710,21693,617,1982,449
230,2010,1,night,43,132,1,1,2,48816,85,45844,1000,897,990
231,2010,1,night,44,80,1,1,4,31493,90,30636,230,202,335
232,2010,1,night,45,24,1,1,1,10098,30,9721,59,220,68
233,2010,1,night,46,65,1,1,2,28550,106,20802,6494,875,273
234,2010,1,night,47,7,1,1,1,2618,0,2618,0,0,0
235,2010,1,night,48,28,1,1,1,13400,19,12462,519,269,131
236,2010,1,night,49,85,1,1,11,44267,150,42822,489,471,335
237,2010,1,night,5,21,1,1,7,34815,1313,594,4817,27043,1048
238,2010,1,night,50,13,1,1,1,6970,42,5735,570,605,18
239,2010,1,night,51,39,1,1,1,15570,36,9722,4931,709,172
240,2010,1,night,52,21,1,1,3,23739,34,398,19148,4086,73
241,2010,1,night,53,83,1,1,6,28160,51,26297,1275,279,258
242,2010,1,night,54,13,1,1,3,7190,0,6910,180,74,26
243,2010,1,night,55,8,1,1,2,9338,16,408,4887,3971,56
244,2010,1,night,56,28,1,1,1,34743,512,1461,15297,17169,304
245,2010,1,night,57,20,1,1,0,13998,333,111,10585,2890,79
246,2010,1,night,58,55,1,1,0,44130,3032,577,37509,2950,62
247,2010,1,night,59,25,1,1,0,16449,3185,446,9487,3104,227
248,2010,1,night,6,134,1,1,0,97968,6639,3430,7133,78123,2643
249,2010,1,night,60,40,1,1,0,31939,10868,874,8941,10437,819
250,2010,1,night,61,107,1,1,2,41598,927,11222,23536,5473,440
251,2010,1,night,62,19,1,1,2,19165,257,133,15354,3397,24
252,2010,1,night,63,72,1,1,2,40381,333,1336,37260,1421,31
253,2010,1,night,64,26,1,1,3,24452,345,167,12005,11776,159
254,2010,1,night,65,39,1,1,3,33477,143,932,26926,5350,126
255,2010,1,night,66,125,1,1,1,56293,421,27974,25583,1854,461
256,2010,1,night,67,125,1,1,6,34272,11,32203,1297,258,503
257,2010,1,night,68,121,1,1,4,27297,73,26054,543,226,401
258,2010,1,night,69,132,1,1,5,32849,20,31332,602,419,476
259,2010,1,night,7,87,1,1,5,65951,3633,2691,4771,53345,1511
260,2010,1,night,70,53,1,1,5,42809,195,20584,15384,6232,414
261,2010,1,night,71,146,1,1,6,47611,126,46204,672,175,434
262,2010,1,night,72,23,1,1,4,21002,83,7601,1169,11761,388
263,2010,1,night,73,54,1,1,6,26435,1,25394,359,198,483
264,2010,1,night,74,15,1,1,1,18357,410,826,1040,15870,211
265,2010,1,night,75,40,1,1,3,23204,52,15131,623,6925,473
266,2010,1,night,76,23,1,1,3,14143,1359,150,1675,10375,584
267,2010,1,night,77,53,1,1,3,55276,6482,7685,9007,30151,1951
268,2010,1,night,8,220,1,1,3,84305,9031,7908,4828,60299,2239
269,2010,1,night,9,6,1,1,2,10993,218,117,857,9701,100
270,2010,2,afternoon,1,114,1,1,2,55053,3526,14325,13530,22094,1578
271,2010,2,afternoon,10,29,1,1,2,36486,1354,343,4508,29607,674
272,2010,2,afternoon,11,25,1,1,2,26975,2341,340,5374,18362,558
273,2010,2,afternoon,12,11,1,1,2,18478,2547,31,2357,13275,268
274,2010,2,afternoon,13,25,1,1,2,18058,4359,531,3864,8998,306
275,2010,2,afternoon,14,82,1,1,2,52930,7387,2017,26892,15421,1213
276,2010,2,afternoon,15,81,1,1,1,64427,2866,827,26980,32755,999
277,2010,2,afternoon,16,78,1,1,2,56490,4287,1646,26558,22492,1507
278,2010,2,afternoon,17,55,1,1,2,43053,1583,694,11255,29060,461
279,2010,2,afternoon,18,23,1,1,2,12840,740,464,7481,4051,104
280,2010,2,afternoon,19,159,1,1,2,79069,1273,2804,62790,11249,953
281,2010,2,afternoon,2,109,1,1,2,73019,17097,7644,13088,32839,2351
282,2010,2,afternoon,20,38,1,1,2,24836,204,377,22174,1814,267
283,2010,2,afternoon,21,86,1,1,2,39117,1297,873,23537,12629,781
284,2010,2,afternoon,22,140,1,1,1,74055,1896,3934,34658,32081,1486
285,2010,2,afternoon,23,319,1,1,5,54515,270,22604,28095,2863,683
286,2010,2,afternoon,24,191,1,1,1,84319,3244,6188,23730,48787,2370
287,2010,2,afternoon,25,600,1,1,2,99711,475,83987,10249,4213,787
288,2010,2,afternoon,26,139,1,1,3,18885,49,18083,399,289,65
289,2010,2,afternoon,27,178,1,1,3,20271,59,18543,680,827,162
290,2010,2,afternoon,28,183,1,1,3,58899,8731,17802,6046,25091,1229
291,2010,2,afternoon,29,237,1,1,3,35623,84,32077,2358,713,391
292,2010,2,afternoon,3,94,1,1,4,54062,5285,10785,6964,28972,2056
293,2010,2,afternoon,30,117,1,1,5,72881,170,8570,61499,2393,249
294,2010,2,afternoon,31,88,1,1,6,34979,383,1294,28661,4303,338
295,2010,2,afternoon,32,270,1,1,6,30642,5131,3786,1823,19094,808
296,2010,2,afternoon,33,59,1,1,7,22021,4246,5558,1424,10087,706
297,2010,2,afternoon,34,37,1,1,7,13850,9750,1479,543,1610,468
298,2010,2,afternoon,35,86,1,1,8,19430,2540,13815,426,2329,320
299,2010,2,afternoon,36,20,1,1,8,6473,140,6052,122,147,12
300,2010,2,afternoon,37,31,1,1,8,2543,0,2289,191,52,11
301,2010,2,afternoon,38,114,1,1,8,22531,102,20748,474,702,505
302,2010,2,afternoon,39,51,1,1,8,18217,1492,12362,701,3236,426
303,2010,2,afternoon,4,55,1,1,8,39547,4738,1525,6236,25865,1183
304,2010,2,afternoon,40,91,1,1,8,11647,11,11070,246,33,287
305,2010,2,afternoon,41,51,1,1,7,26705,3242,8519,1681,12298,965
306,2010,2,afternoon,42,136,1,1,8,25451,710,21693,617,1982,449
307,2010,2,afternoon,43,265,1,1,3,48816,85,45844,1000,897,990
308,2010,2,afternoon,44,163,1,1,1,31493,90,30636,230,202,335
309,2010,2,afternoon,45,50,1,1,1,10098,30,9721,59,220,68
310,2010,2,afternoon,46,152,1,1,9,28550,106,20802,6494,875,273
311,2010,2,afternoon,47,8,1,1,1,2618,0,2618,0,0,0
312,2010,2,afternoon,48,38,1,1,0,13400,19,12462,519,269,131
313,2010,2,afternoon,49,231,1,1,3,44267,150,42822,489,471,335
314,2010,2,afternoon,5,40,1,1,4,34815,1313,594,4817,27043,1048
315,2010,2,afternoon,50,26,1,1,3,6970,42,5735,570,605,18
316,2010,2,afternoon,51,53,1,1,1,15570,36,9722,4931,709,172
317,2010,2,afternoon,52,43,1,1,1,23739,34,398,19148,4086,73
318,2010,2,afternoon,53,132,1,1,4,28160,51,26297,1275,279,258
319,2010,2,afternoon,54,30,1,1,3,7190,0,6910,180,74,26
320,2010,2,afternoon,55,16,1,1,7,9338,16,408,4887,3971,56
321,2010,2,afternoon,56,48,1,1,9,34743,512,1461,15297,17169,304
322,2010,2,afternoon,57,51,1,1,12,13998,333,111,10585,2890,79
323,2010,2,afternoon,58,74,1,1,14,44130,3032,577,37509,2950,62
324,2010,2,afternoon,59,36,1,1,16,16449,3185,446,9487,3104,227
325,2010,2,afternoon,6,105,1,1,16,97968,6639,3430,7133,78123,2643
326,2010,2,afternoon,60,42,1,2,15,31939,10868,874,8941,10437,819
327,2010,2,afternoon,61,213,1,2,12,41598,927,11222,23536,5473,440
328,2010,2,afternoon,62,39,1,2,7,19165,257,133,15354,3397,24
329,2010,2,afternoon,63,90,1,2,2,40381,333,1336,37260,1421,31
330,2010,2,afternoon,64,33,1,2,0,24452,345,167,12005,11776,159
331,2010,2,afternoon,65,69,1,2,1,33477,143,932,26926,5350,126
332,2010,2,afternoon,66,216,1,2,8,56293,421,27974,25583,1854,461
333,2010,2,afternoon,67,247,1,2,16,34272,11,32203,1297,258,503
334,2010,2,afternoon,68,231,1,2,5,27297,73,26054,543,226,401
335,2010,2,afternoon,69,179,1,2,6,32849,20,31332,602,419,476
336,2010,2,afternoon,7,100,1,2,0,65951,3633,2691,4771,53345,1511
337,2010,2,afternoon,70,67,1,2,1,42809,195,20584,15384,6232,414
338,2010,2,afternoon,71,231,1,2,20,47611,126,46204,672,175,434
339,2010,2,afternoon,72,27,1,2,21,21002,83,7601,1169,11761,388
340,2010,2,afternoon,73,105,1,2,11,26435,1,25394,359,198,483
341,2010,2,afternoon,74,19,1,2,4,18357,410,826,1040,15870,211
342,2010,2,afternoon,75,70,1,2,1,23204,52,15131,623,6925,473
343,2010,2,afternoon,76,42,1,2,0,14143,1359,150,1675,10375,584
344,2010,2,afternoon,77,69,1,2,0,55276,6482,7685,9007,30151,1951
345,2010,2,afternoon,8,248,1,2,0,84305,9031,7908,4828,60299,2239
346,2010,2,afternoon,9,8,1,2,0,10993,218,117,857,9701,100
347,2010,2,evening,1,135,1,2,0,55053,3526,14325,13530,22094,1578
348,2010,2,evening,10,18,1,2,0,36486,1354,343,4508,29607,674
349,2010,2,evening,11,30,1,2,0,26975,2341,340,5374,18362,558
350,2010,2,evening,12,20,1,2,0,18478,2547,31,2357,13275,268
351,2010,2,evening,13,30,1,2,0,18058,4359,531,3864,8998,306
352,2010,2,evening,14,90,1,2,0,52930,7387,2017,26892,15421,1213
353,2010,2,evening,15,95,1,2,1,64427,2866,827,26980,32755,999
354,2010,2,evening,16,89,1,2,2,56490,4287,1646,26558,22492,1507
355,2010,2,evening,17,53,1,2,2,43053,1583,694,11255,29060,461
356,2010,2,evening,18,17,1,2,3,12840,740,464,7481,4051,104
357,2010,2,evening,19,159,1,2,3,79069,1273,2804,62790,11249,953
358,2010,2,evening,2,110,1,2,4,73019,17097,7644,13088,32839,2351
359,2010,2,evening,20,42,1,2,4,24836,204,377,22174,1814,267
360,2010,2,evening,21,78,1,2,3,39117,1297,873,23537,12629,781
361,2010,2,evening,22,165,1,2,1,74055,1896,3934,34658,32081,1486
362,2010,2,evening,23,249,1,2,5,54515,270,22604,28095,2863,683
363,2010,2,evening,24,181,1,2,1,84319,3244,6188,23730,48787,2370
364,2010,2,evening,25,565,1,2,1,99711,475,83987,10249,4213,787
365,2010,2,evening,26,148,1,2,1,18885,49,18083,399,289,65
366,2010,2,evening,27,167,1,2,2,20271,59,18543,680,827,162
367,2010,2,evening,28,143,1,2,2,58899,8731,17802,6046,25091,1229
368,2010,2,evening,29,218,1,2,3,35623,84,32077,2358,713,391
369,2010,2,evening,3,99,1,2,4,54062,5285,10785,6964,28972,2056
370,2010,2,evening,30,133,1,2,6,72881,170,8570,61499,2393,249
371,2010,2,evening,31,73,1,2,7,34979,383,1294,28661,4303,338
372,2010,2,evening,32,100,1,2,9,30642,5131,3786,1823,19094,808
373,2010,2,evening,33,31,1,2,10,22021,4246,5558,1424,10087,706
374,2010,2,evening,34,44,1,2,11,13850,9750,1479,543,1610,468
375,2010,2,evening,35,46,1,2,12,19430,2540,13815,426,2329,320
376,2010,2,evening,36,14,1,2,13,6473,140,6052,122,147,12
377,2010,2,evening,37,28,1,2,14,2543,0,2289,191,52,11
378,2010,2,evening,38,72,1,2,14,22531,102,20748,474,702,505
379,2010,2,evening,39,49,1,2,14,18217,1492,12362,701,3236,426
380,2010,2,evening,4,69,1,2,13,39547,4738,1525,6236,25865,1183
381,2010,2,evening,40,85,1,2,12,11647,11,11070,246,33,287
