Community,Year,Total,asian,Black,hispanic,white,other 
57,2009,14132,204,207,10724,2913,84
58,2009,43567,3108,744,36267,3425,23
59,2009,16538,2852,473,10026,2987,200
60,2009,32639,11424,753,8989,10584,889
61,2009,41758,819,11974,22442,6151,372
62,2009,19517,284,266,15402,3529,36
63,2009,39580,365,1545,35998,1627,45
64,2009,23399,300,147,10554,12250,148
65,2009,33199,108,1097,26576,5306,112
66,2009,55598,448,28451,24409,1934,356
67,2009,34632,40,32827,985,358,422
68,2009,28361,22,27426,308,188,417
69,2009,32804,37,31348,577,392,450
70,2009,42821,156,20940,14699,6814,212
71,2009,48934,118,47594,653,127,442
72,2009,21762,47,7792,1304,12157,462
73,2009,26241,1,25267,290,248,435
74,2009,18397,169,827,1120,16110,171
75,2009,23568,103,14828,464,7760,413
76,2009,13700,1300,175,1740,10080,405
77,2009,55548,6953,7390,9455,29695,2055
1,2010,55053,3526,14325,13530,22094,1578
2,2010,73019,17097,7644,13088,32839,2351
3,2010,54062,5285,10785,6964,28972,2056
4,2010,39547,4738,1525,6236,25865,1183
5,2010,34815,1313,594,4817,27043,1048
6,2010,97968,6639,3430,7133,78123,2643
7,2010,65951,3633,2691,4771,53345,1511
8,2010,84305,9031,7908,4828,60299,2239
9,2010,10993,218,117,857,9701,100
10,2010,36486,1354,343,4508,29607,674
11,2010,26975,2341,340,5374,18362,558
12,2010,18478,2547,31,2357,13275,268
13,2010,18058,4359,531,3864,8998,306
14,2010,52930,7387,2017,26892,15421,1213
15,2010,64427,2866,827,26980,32755,999
16,2010,56490,4287,1646,26558,22492,1507
17,2010,43053,1583,694,11255,29060,461
18,2010,12840,740,464,7481,4051,104
19,2010,79069,1273,2804,62790,11249,953
20,2010,24836,204,377,22174,1814,267
21,2010,39117,1297,873,23537,12629,781
22,2010,74055,1896,3934,34658,32081,1486
23,2010,54515,270,22604,28095,2863,683
24,2010,84319,3244,6188,23730,48787,2370
25,2010,99711,475,83987,10249,4213,787
26,2010,18885,49,18083,399,289,65
27,2010,20271,59,18543,680,827,162
