Community,Year,Total,asian,Black,hispanic,white,other 
48,2016,13306,12,12566,465,161,102
49,2016,42327,169,40798,396,417,547
50,2016,6620,43,5474,335,633,135
51,2016,14635,1,9575,4139,781,139
52,2016,23013,66,562,18409,3938,38
53,2016,27572,70,25520,1488,281,213
54,2016,7382,26,6926,265,135,30
55,2016,9151,  -,447,4582,4105,17
56,2016,35542,311,1431,17270,16214,316
57,2016,13259,441,79,10197,2482,60
58,2016,44231,3253,453,37468,2798,259
59,2016,16064,2918,145,10095,2660,246
60,2016,32853,12214,863,8175,10982,619
61,2016,41178,993,9495,25278,5010,402
62,2016,19932,308,213,16566,2840,5
63,2016,40926,191,1352,37904,1432,47
64,2016,25200,361,340,12527,11672,300
65,2016,33595,193,1154,27169,5008,71
66,2016,54265,304,25023,26109,1973,856
67,2016,30798,6,28249,1890,244,409
68,2016,26020,62,24690,756,204,308
69,2016,32461,5,31301,387,431,337
70,2016,43283,314,20721,16374,5044,830
71,2016,45770,153,44267,614,257,479
72,2016,20836,89,7047,1200,12043,457
73,2016,27055,8,25981,324,170,572
74,2016,19029,368,589,2090,15730,252
75,2016,23019,45,15252,805,6313,604
76,2016,12902,1407,231,1127,9475,662
77,2016,55430,6430,7592,9081,30615,1712
1,2017,55500,3205,14455,12383,23604,1853
2,2017,73723,16641,8936,13366,31806,2974
3,2017,56296,5773,10970,7468,30456,1629
4,2017,41483,4608,1394,7284,26554,1643
5,2017,34942,1563,713,4378,26996,1292
6,2017,99876,6735,3320,8099,78859,2863
7,2017,67260,4243,3134,4675,53151,2057
8,2017,86343,9906,7376,4627,62243,2191
9,2017,11150,241,148,752,9893,116
10,2017,36002,1170,169,4202,29644,817
11,2017,26755,2597,274,6125,17155,604
12,2017,18631,1971,169,2439,13655,397
13,2017,18743,5121,448,3092,9642,440
14,2017,51575,7883,2337,24892,14932,1531
15,2017,64523,2946,863,27576,31778,1360
16,2017,55417,4579,1543,24733,22975,1587
17,2017,43444,1755,895,12559,27862,373
18,2017,12992,519,582,7585,4032,274
19,2017,78155,1336,2196,62968,10879,776
20,2017,24450,384,502,21321,1900,343
21,2017,38191,1340,800,23368,11898,785
22,2017,74606,2234,3556,33868,33354,1594
23,2017,56248,305,20912,30847,3258,926
24,2017,84458,3373,6551,22477,49729,2328
25,2017,97611,475,79668,12270,4407,791
26,2017,17490,33,16705,362,277,113
27,2017,20234,80,18155,712,1079,208
28,2017,62560,10267,18559,6105,26071,1558
29,2017,35423,83,31112,2897,796,535
30,2017,73983,201,8831,62126,2545,280
31,2017,32998,718,1258,25699,4955,368
32,2017,35010,6162,4003,2115,21691,1039
33,2017,23190,5375,5488,1243,10433,651
34,2017,13635,10278,1248,408,1572,129
35,2017,20559,2639,14460,649,2356,455
36,2017,6474,124,5949,240,125,36
37,2017,2377,  -,2170,124,83,  -
38,2017,22634,89,21054,373,570,548
39,2017,17074,1440,11690,503,2925,516
40,2017,11868,14,11199,216,48,391
41,2017,26573,3249,7621,2101,12539,1063
42,2017,26024,797,21891,775,2062,499
43,2017,48552,124,45464,845,1326,793
44,2017,30946,93,29792,311,459,291
45,2017,9840,19,9617,68,37,99
46,2017,27601,16,20826,5810,672,277
47,2017,2442,  -,2419,  -,11,12
48,2017,13306,12,12566,465,161,102
49,2017,42327,169,40798,396,417,547
50,2017,6620,43,5474,335,633,135
51,2017,14635,1,9575,4139,781,139
52,2017,23013,66,562,18409,3938,38
53,2017,27572,70,25520,1488,281,213
54,2017,7382,26,6926,265,135,30
55,2017,9151,  -,447,4582,4105,17
56,2017,35542,311,1431,17270,16214,316
57,2017,13259,441,79,10197,2482,60
58,2017,44231,3253,453,37468,2798,259
59,2017,16064,2918,145,10095,2660,246
60,2017,32853,12214,863,8175,10982,619
61,2017,41178,993,9495,25278,5010,402
62,2017,19932,308,213,16566,2840,5
63,2017,40926,191,1352,37904,1432,47
64,2017,25200,361,340,12527,11672,300
65,2017,33595,193,1154,27169,5008,71
66,2017,54265,304,25023,26109,1973,856
67,2017,30798,6,28249,1890,244,409
68,2017,26020,62,24690,756,204,308
69,2017,32461,5,31301,387,431,337
70,2017,43283,314,20721,16374,5044,830
71,2017,45770,153,44267,614,257,479
72,2017,20836,89,7047,1200,12043,457
73,2017,27055,8,25981,324,170,572
74,2017,19029,368,589,2090,15730,252
75,2017,23019,45,15252,805,6313,604
76,2017,12902,1407,231,1127,9475,662
77,2017,55430,6430,7592,9081,30615,1712
1,2018,55500,3205,14455,12383,23604,1853
2,2018,73723,16641,8936,13366,31806,2974
3,2018,56296,5773,10970,7468,30456,1629
4,2018,41483,4608,1394,7284,26554,1643
5,2018,34942,1563,713,4378,26996,1292
6,2018,99876,6735,3320,8099,78859,2863
7,2018,67260,4243,3134,4675,53151,2057
8,2018,86343,9906,7376,4627,62243,2191
9,2018,11150,241,148,752,9893,116
10,2018,36002,1170,169,4202,29644,817
11,2018,26755,2597,274,6125,17155,604
12,2018,18631,1971,169,2439,13655,397
13,2018,18743,5121,448,3092,9642,440
14,2018,51575,7883,2337,24892,14932,1531
15,2018,64523,2946,863,27576,31778,1360
16,2018,55417,4579,1543,24733,22975,1587
17,2018,43444,1755,895,12559,27862,373
18,2018,12992,519,582,7585,4032,274
19,2018,78155,1336,2196,62968,10879,776
20,2018,24450,384,502,21321,1900,343
21,2018,38191,1340,800,23368,11898,785
22,2018,74606,2234,3556,33868,33354,1594
23,2018,56248,305,20912,30847,3258,926
24,2018,84458,3373,6551,22477,49729,2328
25,2018,97611,475,79668,12270,4407,791
26,2018,17490,33,16705,362,277,113
27,2018,20234,80,18155,712,1079,208
28,2018,62560,10267,18559,6105,26071,1558
29,2018,35423,83,31112,2897,796,535
30,2018,73983,201,8831,62126,2545,280
31,2018,32998,718,1258,25699,4955,368
32,2018,35010,6162,4003,2115,21691,1039
33,2018,23190,5375,5488,1243,10433,651
34,2018,13635,10278,1248,408,1572,129
35,2018,20559,2639,14460,649,2356,455
36,2018,6474,124,5949,240,125,36
37,2018,2377,  -,2170,124,83,  -
38,2018,22634,89,21054,373,570,548
39,2018,17074,1440,11690,503,2925,516
40,2018,11868,14,11199,216,48,391
41,2018,26573,3249,7621,2101,12539,1063
42,2018,26024,797,21891,775,2062,499
43,2018,48552,124,45464,845,1326,793
44,2018,30946,93,29792,311,459,291
45,2018,9840,19,9617,68,37,99
46,2018,27601,16,20826,5810,672,277
47,2018,2442,  -,2419,  -,11,12
48,2018,13306,12,12566,465,161,102
49,2018,42327,169,40798,396,417,547
50,2018,6620,43,5474,335,633,135
51,2018,14635,1,9575,4139,781,139
52,2018,23013,66,562,18409,3938,38
53,2018,27572,70,25520,1488,281,213
54,2018,7382,26,6926,265,135,30
55,2018,9151,  -,447,4582,4105,17
56,2018,35542,311,1431,17270,16214,316
57,2018,13259,441,79,10197,2482,60
58,2018,44231,3253,453,37468,2798,259
59,2018,16064,2918,145,10095,2660,246
60,2018,32853,12214,863,8175,10982,619
61,2018,41178,993,9495,25278,5010,402
62,2018,19932,308,213,16566,2840,5
63,2018,40926,191,1352,37904,1432,47
64,2018,25200,361,340,12527,11672,300
65,2018,33595,193,1154,27169,5008,71
66,2018,54265,304,25023,26109,1973,856
67,2018,30798,6,28249,1890,244,409
68,2018,26020,62,24690,756,204,308
69,2018,32461,5,31301,387,431,337
70,2018,43283,314,20721,16374,5044,830
71,2018,45770,153,44267,614,257,479
72,2018,20836,89,7047,1200,12043,457
73,2018,27055,8,25981,324,170,572
74,2018,19029,368,589,2090,15730,252
75,2018,23019,45,15252,805,6313,604
76,2018,12902,1407,231,1127,9475,662
77,2018,55430,6430,7592,9081,30615,1712
